Model,Lambda,Params,MFLOPs,Accuracy (%),Recall (%),F1 Score (%),ECE,Energy Red (%),Latency (ms)
Base CNN (Control),0.02,86097,2.24,93.41 +/- 0.00,92.51 +/- 0.00,83.32 +/- 0.00,0.0125 +/- 0.0000,0.00 +/- 0.00,0.43 +/- 0.00
Constant Width,0.02,86097,2.24,88.77 +/- 0.00,84.42 +/- 0.00,79.79 +/- 0.00,0.1796 +/- 0.0000,7.81 +/- 0.00,0.51 +/- 0.00
Increasing Width,0.02,122353,1.34,88.94 +/- 0.00,87.52 +/- 0.00,79.54 +/- 0.00,0.1452 +/- 0.0000,25.69 +/- 0.00,0.25 +/- 0.00
Decreasing Width,0.02,128305,6.22,88.05 +/- 0.00,89.18 +/- 0.00,76.51 +/- 0.00,0.1638 +/- 0.0000,2.95 +/- 0.00,0.67 +/- 0.00
Adaptive Width,0.02,98577,2.24,88.68 +/- 0.00,81.72 +/- 0.00,76.66 +/- 0.00,0.0924 +/- 0.0000,17.11 +/- 0.00,0.36 +/- 0.00
